Date,Open,High,Low,Close,Volume
16-Jun-17,133.72,134.60,133.04,134.35,12639630
15-Jun-17,132.00,133.35,131.80,133.04,5264996
14-Jun-17,132.51,133.56,132.51,132.77,7329376
13-Jun-17,131.75,132.73,131.40,132.02,5733817
12-Jun-17,131.64,132.04,131.09,131.82,8020951
9-Jun-17,130.37,131.70,130.31,131.53,5993031
8-Jun-17,131.00,131.40,129.96,130.55,8101669
7-Jun-17,131.00,131.48,130.58,130.75,5765471
6-Jun-17,130.18,131.33,130.03,130.83,5619093
5-Jun-17,129.97,130.70,129.80,130.36,4634663
2-Jun-17,129.05,130.14,128.83,130.08,6562557
1-Jun-17,128.32,128.78,128.12,128.78,5790899
31-May-17,127.35,128.80,127.35,128.25,8813511
30-May-17,126.70,127.39,126.19,127.11,3665353
26-May-17,127.23,127.67,126.83,126.92,4005234
25-May-17,126.74,127.62,126.33,127.53,5294263
24-May-17,127.79,128.00,127.29,127.51,3968185
23-May-17,127.31,128.15,127.31,127.52,3973025
22-May-17,126.63,127.65,126.63,127.26,4858199
19-May-17,127.03,127.39,126.44,127.00,6957196
18-May-17,126.46,127.87,125.96,126.97,6571254
17-May-17,126.60,127.89,126.45,126.67,6480802
16-May-17,127.34,128.37,127.06,127.77,7233801
15-May-17,124.41,127.36,124.33,126.99,9854621
12-May-17,123.11,124.10,123.01,123.64,4097060
11-May-17,122.50,123.21,122.34,123.20,4095893
10-May-17,122.91,123.06,122.38,122.81,4237412
9-May-17,123.23,123.47,122.88,123.21,3762488
8-May-17,123.53,123.80,123.02,123.25,3609058
5-May-17,123.80,123.80,122.86,123.51,4139755
4-May-17,123.69,123.95,123.23,123.95,3753701
3-May-17,123.59,123.70,123.04,123.33,3736531
2-May-17,123.52,123.74,122.89,123.70,4881641
1-May-17,123.40,123.78,123.00,123.34,4556360
28-Apr-17,123.85,123.90,123.13,123.47,4381766
27-Apr-17,123.58,124.31,123.40,123.74,4225152
26-Apr-17,123.79,124.26,123.48,123.51,5021839
25-Apr-17,123.34,123.74,123.01,123.43,5089987
24-Apr-17,122.52,123.21,122.15,122.89,5679021
21-Apr-17,121.78,122.04,121.54,121.76,6021721
20-Apr-17,121.86,122.15,121.35,121.87,6330136
19-Apr-17,122.10,122.28,121.11,121.37,6993098
18-Apr-17,123.18,123.37,120.95,121.82,13485682
17-Apr-17,125.02,125.81,124.93,125.72,5367465
13-Apr-17,125.13,125.65,124.96,124.99,5396539
12-Apr-17,124.54,125.46,124.36,125.40,5556604
11-Apr-17,124.26,124.79,123.95,124.22,4161540
10-Apr-17,124.87,124.95,124.23,124.34,4594234
7-Apr-17,125.12,125.47,124.83,124.92,3615126
6-Apr-17,124.85,125.46,124.50,125.05,4324385
5-Apr-17,124.72,125.60,124.41,124.80,5646251
4-Apr-17,124.51,124.76,124.22,124.68,5358474
3-Apr-17,124.73,125.31,124.28,124.69,4956532
31-Mar-17,124.11,124.82,124.03,124.55,5657560
30-Mar-17,124.74,125.43,124.28,124.66,4711693
29-Mar-17,125.05,125.33,124.36,124.92,3971828
28-Mar-17,125.62,125.78,124.78,125.66,5287559
27-Mar-17,125.16,126.14,125.15,125.80,5004285
24-Mar-17,125.86,126.36,125.13,125.48,6490304
23-Mar-17,126.10,127.00,125.66,125.90,8508073
22-Mar-17,127.05,127.65,126.21,126.26,10272668
21-Mar-17,128.38,128.45,127.14,127.25,7578634
20-Mar-17,128.04,128.42,127.97,128.07,5827497
17-Mar-17,128.45,128.94,127.95,128.06,13300756
16-Mar-17,128.44,128.70,127.77,128.46,7610720
15-Mar-17,127.05,129.00,126.60,128.96,8360637
14-Mar-17,126.86,127.75,126.77,127.05,7679707
13-Mar-17,125.83,126.95,125.79,126.68,7162476
10-Mar-17,126.04,126.49,125.54,126.21,7395375
9-Mar-17,124.58,126.21,124.17,125.95,8571147
8-Mar-17,123.75,124.68,123.50,124.10,7909858
7-Mar-17,122.58,124.46,122.39,123.83,6643988
6-Mar-17,123.01,124.43,122.60,123.71,6670681
3-Mar-17,123.41,123.93,123.23,123.79,5593811
2-Mar-17,123.75,124.36,123.02,123.63,6950220
1-Mar-17,122.49,124.45,122.42,123.86,9393869
28-Feb-17,122.01,122.65,121.94,122.21,8885513
27-Feb-17,122.13,122.88,122.10,122.40,5946157
24-Feb-17,121.50,122.74,120.90,122.73,10834986
23-Feb-17,119.52,121.90,119.48,121.70,9980945
22-Feb-17,119.28,119.77,119.25,119.52,5103903
21-Feb-17,118.40,119.89,118.32,119.66,8595110
17-Feb-17,118.19,118.90,118.05,118.86,8691397
16-Feb-17,117.00,118.28,117.00,118.08,7119291
15-Feb-17,115.90,117.46,115.59,117.20,5979679
14-Feb-17,115.44,116.40,115.32,116.36,5539136
